mpn,manufacturer,category,source_url,final_url,http_status,content_type,file_size,local_path,sha256,state,failure_reason,attempts,last_attempt
RC0402FR-071RL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-071R5L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-072R2L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-073R3L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-074R7L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-076R8L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-0710RL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-0715RL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-0722RL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-0733RL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-0747RL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-0768RL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-07100L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-07150L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-07220L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-07330L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-07470L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-07680L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-071KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-071K5L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-072K2L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0402FR-073K3L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
