lcsc_id,mpn,manufacturer,category,subcategory,package,voltage_v,capacitance_f,resistance_ohm,inductance_h,tolerance,temp_coeff,power_w,stock,price_cny,moq,description,keywords
,RC0402FR-071RL,Yageo,Resistor,Thin Film,0402,,,1.0,,±1%,±100ppm/°C,0.0625,,,,1Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-071R5L,Yageo,Resistor,Thin Film,0402,,,1.5,,±1%,±100ppm/°C,0.0625,,,,1.5Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-072R2L,Yageo,Resistor,Thin Film,0402,,,2.2,,±1%,±100ppm/°C,0.0625,,,,2.2Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-073R3L,Yageo,Resistor,Thin Film,0402,,,3.3,,±1%,±100ppm/°C,0.0625,,,,3.3Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-074R7L,Yageo,Resistor,Thin Film,0402,,,4.7,,±1%,±100ppm/°C,0.0625,,,,4.7Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-076R8L,Yageo,Resistor,Thin Film,0402,,,6.8,,±1%,±100ppm/°C,0.0625,,,,6.8Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-0710RL,Yageo,Resistor,Thin Film,0402,,,10.0,,±1%,±100ppm/°C,0.0625,,,,10Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-0715RL,Yageo,Resistor,Thin Film,0402,,,15.0,,±1%,±100ppm/°C,0.0625,,,,15Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-0722RL,Yageo,Resistor,Thin Film,0402,,,22.0,,±1%,±100ppm/°C,0.0625,,,,22Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-0733RL,Yageo,Resistor,Thin Film,0402,,,33.0,,±1%,±100ppm/°C,0.0625,,,,33Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-0747RL,Yageo,Resistor,Thin Film,0402,,,47.0,,±1%,±100ppm/°C,0.0625,,,,47Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-0768RL,Yageo,Resistor,Thin Film,0402,,,68.0,,±1%,±100ppm/°C,0.0625,,,,68Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-07100L,Yageo,Resistor,Thin Film,0402,,,100.0,,±1%,±100ppm/°C,0.0625,,,,100Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-07150L,Yageo,Resistor,Thin Film,0402,,,150.0,,±1%,±100ppm/°C,0.0625,,,,150Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-07220L,Yageo,Resistor,Thin Film,0402,,,220.0,,±1%,±100ppm/°C,0.0625,,,,220Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-07330L,Yageo,Resistor,Thin Film,0402,,,330.0,,±1%,±100ppm/°C,0.0625,,,,330Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-07470L,Yageo,Resistor,Thin Film,0402,,,470.0,,±1%,±100ppm/°C,0.0625,,,,470Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-07680L,Yageo,Resistor,Thin Film,0402,,,680.0,,±1%,±100ppm/°C,0.0625,,,,680Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-071KL,Yageo,Resistor,Thin Film,0402,,,1000.0,,±1%,±100ppm/°C,0.0625,,,,1000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-071K5L,Yageo,Resistor,Thin Film,0402,,,1500.0,,±1%,±100ppm/°C,0.0625,,,,1500Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-072K2L,Yageo,Resistor,Thin Film,0402,,,2200.0,,±1%,±100ppm/°C,0.0625,,,,2200Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-073K3L,Yageo,Resistor,Thin Film,0402,,,3300.0,,±1%,±100ppm/°C,0.0625,,,,3300Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-074K7L,Yageo,Resistor,Thin Film,0402,,,4700.0,,±1%,±100ppm/°C,0.0625,,,,4700Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-076K8L,Yageo,Resistor,Thin Film,0402,,,6800.0,,±1%,±100ppm/°C,0.0625,,,,6800Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-0710KL,Yageo,Resistor,Thin Film,0402,,,10000.0,,±1%,±100ppm/°C,0.0625,,,,10000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-0715KL,Yageo,Resistor,Thin Film,0402,,,15000.0,,±1%,±100ppm/°C,0.0625,,,,15000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-0722KL,Yageo,Resistor,Thin Film,0402,,,22000.0,,±1%,±100ppm/°C,0.0625,,,,22000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-0733KL,Yageo,Resistor,Thin Film,0402,,,33000.0,,±1%,±100ppm/°C,0.0625,,,,33000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-0747KL,Yageo,Resistor,Thin Film,0402,,,47000.0,,±1%,±100ppm/°C,0.0625,,,,47000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-0768KL,Yageo,Resistor,Thin Film,0402,,,68000.0,,±1%,±100ppm/°C,0.0625,,,,68000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-07100KL,Yageo,Resistor,Thin Film,0402,,,100000.0,,±1%,±100ppm/°C,0.0625,,,,100000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-07150KL,Yageo,Resistor,Thin Film,0402,,,150000.0,,±1%,±100ppm/°C,0.0625,,,,150000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-07220KL,Yageo,Resistor,Thin Film,0402,,,220000.0,,±1%,±100ppm/°C,0.0625,,,,220000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-07330KL,Yageo,Resistor,Thin Film,0402,,,330000.0,,±1%,±100ppm/°C,0.0625,,,,330000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-07470KL,Yageo,Resistor,Thin Film,0402,,,470000.0,,±1%,±100ppm/°C,0.0625,,,,470000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-07680KL,Yageo,Resistor,Thin Film,0402,,,680000.0,,±1%,±100ppm/°C,0.0625,,,,680000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0402FR-071ML,Yageo,Resistor,Thin Film,0402,,,1000000.0,,±1%,±100ppm/°C,0.0625,,,,1000000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,RC0603FR-071RL,Yageo,Resistor,Thin Film,0603,,,1.0,,±1%,±100ppm/°C,0.1,,,,1Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-071R5L,Yageo,Resistor,Thin Film,0603,,,1.5,,±1%,±100ppm/°C,0.1,,,,1.5Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-072R2L,Yageo,Resistor,Thin Film,0603,,,2.2,,±1%,±100ppm/°C,0.1,,,,2.2Ω 0603 1% 1/10W,resistor 0603 1% thin-film
